trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
89,0,89,0,5,194.52616280000075,194.52616280000075,0.016690399999788497,[-0.4675925925925926],[-0.48518518518518516],[1],[0],[0],[1.9645407999996678],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
90,0,90,0,10,196.5278393999979,196.5278393999979,0.03252210000209743,[-0.49537037037037035],[0.2759259259259259],[1],[0],[0],[1.5464603000000352],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
91,0,91,0,5,198.0982851000008,198.0982851000008,0.01949909999530064,[-0.4935185185185185],[-0.3],[1],[0],[0],[2.9251688000003924],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
92,0,92,0,10,201.05996739999682,201.05996739999682,0.03215759999875445,[0.1259259259259259],[0.075],[1],[0],[0],[2.714073900002404],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
93,0,93,0,5,203.80164639999566,203.80164639999566,0.022269900000537746,[0.2361111111111111],[-0.024074074074074074],[1],[0],[0],[1.2550217999960296],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
94,0,94,0,5,205.07594619999873,205.07594619999873,0.015877800004091114,[-0.3194444444444444],[-0.3592592592592593],[1],[0],[0],[1.7962122999961139],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
95,0,95,0,10,206.9060415999993,206.9060415999993,0.028621400000702124,[-0.05740740740740741],[0.21851851851851853],[1],[0],[0],[1.6184591999990516],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
96,0,96,0,5,208.54268089999823,208.54268089999823,0.016628099998342805,[0.16296296296296298],[0.37222222222222223],[1],[0],[0],[1.8314070000051288],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
97,0,97,0,10,210.41066480000154,210.41066480000154,0.03023360000224784,[-0.2101851851851852],[0.16018518518518518],[1],[0],[0],[1.4649990999969305],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
98,0,98,0,10,211.90933829999994,211.90933829999994,0.031395800004247576,[-0.3101851851851852],[0.037037037037037035],[1],[0],[0],[1.5657554999997956],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
99,0,99,0,5,213.49291749999975,213.49291749999975,0.016893899999558926,[0.4074074074074074],[-0.15185185185185185],[1],[0],[0],[1.6291936999987229],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
100,0,100,0,5,215.14037390000158,215.14037390000158,0.015439800001331605,[0.35648148148148145],[0.023148148148148147],[1],[0],[0],[1.1988664999953471],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
101,0,101,0,10,216.37429200000042,216.37429200000042,0.030510100004903506,[-0.12407407407407407],[-0.35833333333333334],[1],[0],[0],[1.649826299995766],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
102,0,102,0,5,218.04212240000197,218.04212240000197,0.016419399995356798,[-0.287962962962963],[-0.4212962962962963],[1],[0],[0],[1.697031000003335],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
103,0,103,0,10,219.77647669999715,219.77647669999715,0.03187659999821335,[-0.39537037037037037],[-0.06111111111111111],[1],[0],[0],[3.2311165999999503],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
104,0,104,0,5,223.02672370000073,223.02672370000073,0.016780999998445623,[-0.12962962962962962],[-0.007407407407407408],[1],[0],[0],[2.11205560000235],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
105,0,105,0,10,225.1737054999976,225.1737054999976,0.030082799996307585,[0.18888888888888888],[0.2722222222222222],[1],[0],[0],[1.7342510000016773],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
106,0,106,0,5,226.92598420000286,226.92598420000286,0.017074800001864787,[-0.022222222222222223],[-0.3814814814814815],[1],[0],[0],[1.762261000003491],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
107,0,107,0,10,228.72369959999924,228.72369959999924,0.029474800001480617,[0.225],[0.37037037037037035],[1],[0],[0],[1.6834748999972362],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
108,0,108,0,5,230.42447910000192,230.42447910000192,0.016299799994158093,[-0.48518518518518516],[0.09537037037037037],[1],[0],[0],[1.464790300000459],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
109,0,109,0,5,231.90909400000237,231.90909400000237,0.01666570000088541,[-0.4083333333333333],[0.04259259259259259],[1],[0],[0],[1.3969747000010102],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
110,0,110,0,5,233.3276074999958,233.3276074999958,0.017548900003021117,[0.4388888888888889],[0.29074074074074074],[1],[0],[0],[2.877111599998898],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
111,0,111,0,5,236.22372460000042,236.22372460000042,0.01595209999504732,[0.27314814814814814],[0.4351851851851852],[1],[0],[0],[1.7820785000003525],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
112,0,112,0,5,238.02462569999625,238.02462569999625,0.015984799996658694,[-0.43425925925925923],[0.2611111111111111],[1],[0],[0],[2.5146044000066468],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
113,0,113,0,5,240.55820449999737,240.55820449999737,0.01584549999824958,[-0.03148148148148148],[0.3425925925925926],[1],[0],[0],[1.2974475999944843],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
114,0,114,0,10,241.89032800000132,241.89032800000132,0.02969199999643024,[-0.39166666666666666],[-0.35833333333333334],[1],[0],[0],[3.282716399997298],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
